_widgetName,_source,city,location,time range,date,Lat,Long
DUI Checkpoints,DUI Checkpoints,Long Beach,E Williow St And Orange Ave,7pm To 3am,Fri Dec 16 2016,33.804263,-118.176108
DUI Checkpoints,DUI Checkpoints,Santa Monica,Lincoln Blvd and Pico Blvd,7pm To 3am,Fri Dec 16 2016,34.01225,-118.482974
DUI Checkpoints,DUI Checkpoints,Whittier,Whittier Blvd and Mills Ave,,Fri Dec 16 2016,33.95058,-118.01053
DUI Checkpoints,DUI Checkpoints,Compton,Greenleaf Blvd,,Sat Dec 10 2016,41.698047,-85.931567
DUI Checkpoints,DUI Checkpoints,North Hills,Woodly Ave and Roscoe Blvd,,Fri Dec 9 2016,34.221328,-118.483679
DUI Checkpoints,DUI Checkpoints,North Hills,Sepulveda Blvd and Parthenia St,8pm To 1am,Sat Dec 3 2016,34.228279,-118.467659
DUI Checkpoints,DUI Checkpoints,Los Angeles,Hollywood Blvd and Argyle Ave,8pm To 1am,Sat Dec 3 2016,34.101641,-118.325176
DUI Checkpoints,DUI Checkpoints,Carson,Lomita Blvd and S Figueroa St,,Fri Dec 2 2016,33.798295,-118.283021
DUI Checkpoints,DUI Checkpoints,Downey,Firestone Blvd and Arnett St,,Fri Dec 2 2016,33.947198,-118.151728
DUI Checkpoints,DUI Checkpoints,Pasadena,S Pasadena Ave and California Blvd,7pm To 3am,Fri Dec 2 2016,34.135773,-118.154123
DUI Checkpoints,DUI Checkpoints,Los Angeles,W Manchester Ave and Denver Ave,8pm To 1am,Fri Dec 2 2016,33.960031,-118.283908
DUI Checkpoints,DUI Checkpoints,La Mirada,Valley View Ave and I-5,,Sat Nov 26 2016,34.573935,-92.591939
DUI Checkpoints,DUI Checkpoints,South Gate,Firestone Blvd and Atlantic Ave,,Sat Nov 26 2016,33.951849,-118.183052
DUI Checkpoints,DUI Checkpoints,Sherman Oaks,Ventura Blvd and Columbus Ave,8pm To 1am,Sat Nov 26 2016,34.153454,-118.464002
DUI Checkpoints,DUI Checkpoints,Los Angeles,Sunset Blvd and Micheltorena St,8pm To 1am,Sat Jan 14 2017,34.087569,-118.275853
DUI Checkpoints,DUI Checkpoints,Pacoima,Laurel Canyon Blvd and Osborne St,8pm To 1am,Sat Jan 14 2017,34.246858,-118.419516
DUI Checkpoints,DUI Checkpoints,Carson,S Avalon Blvd and E Gardena Blvd,,Fri Jan 13 2017,33.882348,-118.264649
DUI Checkpoints,DUI Checkpoints,North Hills,Sepulveda Blvd and Parthenia St,8pm To 1am,Fri Jan 13 2017,34.228279,-118.467659
DUI Checkpoints,DUI Checkpoints,Los Angeles,S Vermont Ave and W 5th St,8pm To 1am,Fri Jan 13 2017,34.065427,-118.291646
DUI Checkpoints,DUI Checkpoints,Los Angeles,S La Brea Ave and Rodeo Rd,8pm To 1am,Sat Jan 7 2017,34.021584,-118.355613
